2020-08-11 11:35:38,140 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [YellowTomatoesSystemApplicationTests], using SpringBootContextLoader
2020-08-11 11:35:38,150 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [YellowTomatoesSystemApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-11 11:35:38,153 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [YellowTomatoesSystemApplicationTests]: YellowTomatoesSystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-11 11:35:38,334 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration YellowTomatoesSystemApplication for test class YellowTomatoesSystemApplicationTests
2020-08-11 11:35:38,523 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-11 11:35:38,553 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14f232c4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13bc8645, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@24c22fe, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@93081b6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@cd1e646, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7ba8c737, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1890516e, org.springframework.test.context.event.EventPublishingTestExecutionListener@15a04efb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@16c069df, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2bec854f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@31edaa7d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26adfd2d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3336e6b6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7c3fdb62]
2020-08-11 11:35:39,371 [main] INFO  [c.s.y.YellowTomatoesSystemApplicationTests] StartupInfoLogger.java:55 - Starting YellowTomatoesSystemApplicationTests on DESKTOP-12K8J29 with PID 104932 (started by shang in C:\Users\shang\IdeaProjects\yellow-tomatoes\yellow-tomatoes-system)
2020-08-11 11:35:39,372 [main] INFO  [c.s.y.YellowTomatoesSystemApplicationTests] SpringApplication.java:655 - The following profiles are active: dev
2020-08-11 11:35:40,519 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - Skipping MapperFactoryBean with name 'sysUserMapper' and 'SysUserMapper' mapperInterface. Bean already defined with the same name!
2020-08-11 11:35:40,523 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[com.scd.yellowtomatoes]' package. Please check your configuration.
2020-08-11 11:35:41,051 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
